dataname,method,t,tol,knn,size_neighbor,min_neighbor,s_p,s_r,s_f1,o_p,o_r,o_f1,c_p,c_r,c_f1,overall_runtime,structured_runtime,combined_runtime,param
yeast,ocsvm,0.1,0.0001,TRUE,50,50,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,8.7143538,4.574393749,13.28874755,nu_0.5
yeast,ocsvm,0,0.0001,TRUE,100,10,0.3464,0.9408,0.506359727,0.3416,1,0.5093,0.3416,1,0.5092,1.638185024,13.08527088,14.72345591,nu_0.1
yeast,ocsvm,0.01,0.0001,TRUE,100,10,0.3464,0.9408,0.506359727,0.3416,1,0.5093,0.3416,1,0.5092,1.638185024,13.08527088,14.72345591,nu_0.1
yeast,ocsvm,0.05,0.0001,TRUE,100,10,0.3483,0.9014,0.502452781,0.3416,1,0.5093,0.3416,1,0.5092,1.638185024,13.08527088,14.72345591,nu_0.1
yeast,ocsvm,0.1,0.0001,TRUE,100,10,0.3346,0.503,0.401871538,0.3416,1,0.5093,0.3416,1,0.5092,1.638185024,13.08527088,14.72345591,nu_0.1
yeast,ocsvm,0,0.0001,TRUE,100,50,0.3464,0.9408,0.506359727,0.3416,1,0.5093,0.3416,1,0.5092,1.638185024,9.052969217,10.69115424,nu_0.1
yeast,ocsvm,0.01,0.0001,TRUE,100,50,0.3464,0.9408,0.506359727,0.3416,1,0.5093,0.3416,1,0.5092,1.638185024,9.052969217,10.69115424,nu_0.1
yeast,ocsvm,0.05,0.0001,TRUE,100,50,0.3483,0.9014,0.502452781,0.3416,1,0.5093,0.3416,1,0.5092,1.638185024,9.052969217,10.69115424,nu_0.1
yeast,ocsvm,0.1,0.0001,TRUE,100,50,0.3346,0.503,0.401871538,0.3416,1,0.5093,0.3416,1,0.5092,1.638185024,9.052969217,10.69115424,nu_0.1
yeast,ocsvm,0,0.0001,TRUE,100,10,0.3363,0.9704,0.499495707,0.3416,1,0.5093,0.3416,1,0.5092,7.83138895,11.11258793,18.94397688,nu_0.5
yeast,ocsvm,0.01,0.0001,TRUE,100,10,0.3363,0.9704,0.499495707,0.3416,1,0.5093,0.3416,1,0.5092,7.83138895,11.11258793,18.94397688,nu_0.5
yeast,ocsvm,0.05,0.0001,TRUE,100,10,0.3361,0.9684,0.49900995,0.3416,1,0.5093,0.3416,1,0.5092,7.83138895,11.11258793,18.94397688,nu_0.5
yeast,ocsvm,0.1,0.0001,TRUE,100,10,0.3266,0.8935,0.47834948,0.3416,1,0.5093,0.3416,1,0.5092,7.83138895,11.11258793,18.94397688,nu_0.5
yeast,ocsvm,0,0.0001,TRUE,100,50,0.3363,0.9704,0.499495707,0.3416,1,0.5093,0.3416,1,0.5092,7.83138895,11.16000581,18.99139476,nu_0.5
yeast,ocsvm,0.01,0.0001,TRUE,100,50,0.3363,0.9704,0.499495707,0.3416,1,0.5093,0.3416,1,0.5092,7.83138895,11.16000581,18.99139476,nu_0.5
yeast,ocsvm,0.05,0.0001,TRUE,100,50,0.3361,0.9684,0.49900995,0.3416,1,0.5093,0.3416,1,0.5092,7.83138895,11.16000581,18.99139476,nu_0.5
yeast,ocsvm,0.1,0.0001,TRUE,100,50,0.3266,0.8935,0.47834948,0.3416,1,0.5093,0.3416,1,0.5092,7.83138895,11.16000581,18.99139476,nu_0.5
yeast,ocsvm,0,0.0001,TRUE,300,10,0.3408,0.9961,0.507847827,0.3416,1,0.5093,0.3416,1,0.5092,1.708341837,19.5353632,21.24370503,nu_0.1
yeast,ocsvm,0.01,0.0001,TRUE,300,10,0.3432,0.9882,0.509464083,0.3416,1,0.5093,0.3416,1,0.5092,1.708341837,19.5353632,21.24370503,nu_0.1
yeast,ocsvm,0.05,0.0001,TRUE,300,10,0.3203,0.8402,0.463793296,0.3416,1,0.5093,0.3416,1,0.5092,1.708341837,19.5353632,21.24370503,nu_0.1
yeast,ocsvm,0.1,0.0001,TRUE,300,10,0.3156,0.8087,0.454017113,0.3416,1,0.5093,0.3416,1,0.5092,1.708341837,19.5353632,21.24370503,nu_0.1
yeast,ocsvm,0,0.0001,TRUE,300,50,0.338,0.9625,0.500307574,0.3416,1,0.5093,0.3416,1,0.5092,1.708341837,14.40566921,16.11401105,nu_0.1
yeast,ocsvm,0.01,0.0001,TRUE,300,50,0.3403,0.9625,0.502822766,0.3416,1,0.5093,0.3416,1,0.5092,1.708341837,14.40566921,16.11401105,nu_0.1
yeast,ocsvm,0.05,0.0001,TRUE,300,50,0.3167,0.8126,0.455769804,0.3416,1,0.5093,0.3416,1,0.5092,1.708341837,14.40566921,16.11401105,nu_0.1
yeast,ocsvm,0.1,0.0001,TRUE,300,50,0.3156,0.8087,0.454017113,0.3416,1,0.5093,0.3416,1,0.5092,1.708341837,14.40566921,16.11401105,nu_0.1
yeast,ocsvm,0,0.0001,TRUE,300,10,0.3419,1,0.509575974,0.3416,1,0.5093,0.3416,1,0.5092,7.725071192,31.49651504,39.22158623,nu_0.5
yeast,ocsvm,0.01,0.0001,TRUE,300,10,0.3419,1,0.509575974,0.3416,1,0.5093,0.3416,1,0.5092,7.725071192,31.49651504,39.22158623,nu_0.5
yeast,ocsvm,0.05,0.0001,TRUE,300,10,0.3381,0.9822,0.503039945,0.3416,1,0.5093,0.3416,1,0.5092,7.725071192,31.49651504,39.22158623,nu_0.5
yeast,ocsvm,0.1,0.0001,TRUE,300,10,0.3385,0.9822,0.503482547,0.3416,1,0.5093,0.3416,1,0.5092,7.725071192,31.49651504,39.22158623,nu_0.5
yeast,ocsvm,0,0.0001,TRUE,300,50,0.3396,0.9901,0.505735068,0.3416,1,0.5093,0.3416,1,0.5092,7.725071192,29.82390809,37.54897928,nu_0.5
yeast,ocsvm,0.01,0.0001,TRUE,300,50,0.3396,0.9901,0.505735068,0.3416,1,0.5093,0.3416,1,0.5092,7.725071192,29.82390809,37.54897928,nu_0.5
yeast,ocsvm,0.05,0.0001,TRUE,300,50,0.3383,0.9822,0.50326128,0.3416,1,0.5093,0.3416,1,0.5092,7.725071192,29.82390809,37.54897928,nu_0.5
yeast,ocsvm,0.1,0.0001,TRUE,300,50,0.3385,0.9822,0.503482547,0.3416,1,0.5093,0.3416,1,0.5092,7.725071192,29.82390809,37.54897928,nu_0.5
yeast,ocsvm,0,0.0001,FALSE,300,10,0,0,0,0.3416,1,0.5093,0.3416,1,0.5092,1.592499018,5.833392143,7.425891161,nu_0.1
